id,stateAbbr,stateName,rank,corporateTaxRank,incomeTaxRank,salesTaxRank,propertyTaxRank,unemploymentInsuranceTaxRank
1,AL,Alabama,40,23,30,50,15,18
2,AK,Alaska,3,26,1,5,25,46
4,AZ,Arizona,20,22,17,40,8,6
5,AR,Arkansas,46,34,40,46,29,23
6,CA,California,48,28,49,45,16,22
8,CO,Colorado,17,7,14,37,14,43
9,CT,Connecticut,47,27,43,26,50,21
10,DE,Delaware,11,50,41,2,6,3
11,DC,District of Columbia,47*,15*,45*,36*,49*,35*
12,FL,Florida,4,9,1,23,13,2
13,GA,Georgia,32,6,36,29,28,39
15,HI,Hawaii,37,16,47,30,11,28
16,ID,Idaho,21,29,26,12,4,48
17,IL,Illinois,35,36,13,33,40,40
18,IN,Indiana,10,11,15,20,2,25
19,IA,Iowa,42,48,42,15,35,35
20,KS,Kansas,34,35,23,38,20,14
21,KY,Kentucky,24,17,18,14,36,49
22,LA,Louisiana,41,37,32,48,33,4
23,ME,Maine,33,38,22,8,43,32
24,MD,Maryland,43,32,45,19,42,33
25,MA,Massachusetts,36,39,11,13,48,50
26,MI,Michigan,12,18,12,9,24,17
27,MN,Minnesota,45,44,46,28,26,34
28,MS,Mississippi,31,10,27,34,37,5
29,MO,Missouri,14,5,24,24,7,9
30,MT,Montana,5,21,25,3,12,20
31,NE,Nebraska,28,31,21,10,41,11
32,NV,Nevada,7,25,5,44,10,47
33,NH,New Hampshire,6,43,9,1,44,45
34,NJ,New Jersey,50,49,50,42,47,30
35,NM,New Mexico,22,20,31,41,1,8
36,NY,New York,49,13,48,43,46,38
37,NC,North Carolina,15,3,16,21,34,10
38,ND,North Dakota,16,19,20,27,3,13
39,OH,Ohio,38,42,44,32,9,7
40,OK,Oklahoma,27,8,33,39,19,1
41,OR,Oregon,8,33,38,4,18,36
42,PA,Pennsylvania,29,46,19,17,21,42
44,RI,Rhode Island,39,40,29,25,45,31
45,SC,South Carolina,30,4,34,31,30,26
46,SD,South Dakota,2,1,1,35,22,44
47,TN,Tennessee,18,24,8,47,31,24
48,TX,Texas,13,47,6,36,38,12
49,UT,Utah,9,12,10,22,5,15
50,VT,Vermont,44,45,39,16,49,16
51,VA,Virginia,25,14,35,11,32,41
53,WA,Washington,19,41,6,49,27,19
54,WV,West Virginia,23,15,28,18,17,29
55,WI,Wisconsin,26,30,37,7,23,37
56,WY,Wyoming,1,1,1,6,39,27
