id,stateAbbr,stateName,collectionsPerCapita,collectionsPerCapitaRank
0,US,United States,1070,
1,AL,Alabama,687,37
2,AK,Alaska,0,--
4,AZ,Arizona,512,41
5,AR,Arkansas,896,30
6,CA,California,1739,5
8,CO,Colorado,1049,22
9,CT,Connecticut,2172,2
10,DE,Delaware,1283,10
11,DC,District of Columbia,2526,(2)
12,FL,Florida,0,--
13,GA,Georgia,878,32
15,HI,Hawaii,1232,14
16,ID,Idaho,801,34
17,IL,Illinois,1283,10
18,IN,Indiana,941,29
19,IA,Iowa,1145,17
20,KS,Kansas,1022,25
21,KY,Kentucky,1111,20
22,LA,Louisiana,592,39
23,ME,Maine,1153,16
24,MD,Maryland,2061,3
25,MA,Massachusetts,1919,4
26,MI,Michigan,866,33
27,MN,Minnesota,1651,6
28,MS,Mississippi,587,40
29,MO,Missouri,942,28
30,MT,Montana,1031,24
31,NE,Nebraska,1124,18
32,NV,Nevada,0,--
33,NH,New Hampshire,75,42
34,NJ,New Jersey,1359,8
35,NM,New Mexico,595,38
36,NY,New York,2550,1
37,NC,North Carolina,1124,18
38,ND,North Dakota,887,31
39,OH,Ohio,1268,12
40,OK,Oklahoma,757,35
41,OR,Oregon,1594,7
42,PA,Pennsylvania,1201,15
44,RI,Rhode Island,1034,23
45,SC,South Carolina,704,36
46,SD,South Dakota,0,--
47,TN,Tennessee,40,43
48,TX,Texas,0,--
49,UT,Utah,982,26
50,VT,Vermont,1057,21
51,VA,Virginia,1318,9
53,WA,Washington,0,--
54,WV,West Virginia,969,27
55,WI,Wisconsin,1258,13
56,WY,Wyoming,0,--
