id,stateAbbr,stateName,propertyTax,salesTax,incomeTax,corporateTax,otherTax
0,US,United States,0.313,0.233,0.229,0.037,0.189
1,AL,Alabama,0.174,0.297,0.227,0.028,0.274
2,AK,Alaska,0.349,0.039,0.000,0.073,0.538
4,AZ,Arizona,0.295,0.396,0.154,0.026,0.130
5,AR,Arkansas,0.180,0.375,0.234,0.036,0.176
6,CA,California,0.254,0.229,0.322,0.042,0.153
8,CO,Colorado,0.313,0.258,0.242,0.031,0.157
9,CT,Connecticut,0.383,0.153,0.298,0.024,0.142
10,DE,Delaware,0.188,0.000,0.266,0.069,0.477
11,DC,District of Columbia,0.325,0.178,0.263,0.065,0.169
12,FL,Florida,0.357,0.353,0.000,0.031,0.260
13,GA,Georgia,0.322,0.260,0.263,0.028,0.127
15,HI,Hawaii,0.172,0.376,0.215,0.016,0.222
16,ID,Idaho,0.287,0.260,0.253,0.036,0.164
17,IL,Illinois,0.365,0.142,0.235,0.063,0.195
18,IN,Indiana,0.259,0.283,0.244,0.035,0.178
19,IA,Iowa,0.345,0.215,0.241,0.028,0.171
20,KS,Kansas,0.328,0.307,0.198,0.026,0.141
21,KY,Kentucky,0.204,0.197,0.313,0.051,0.234
22,LA,Louisiana,0.216,0.383,0.152,0.027,0.222
23,ME,Maine,0.399,0.187,0.221,0.029,0.164
24,MD,Maryland,0.266,0.125,0.374,0.029,0.205
25,MA,Massachusetts,0.363,0.136,0.326,0.054,0.121
26,MI,Michigan,0.354,0.233,0.223,0.024,0.167
27,MN,Minnesota,0.250,0.183,0.313,0.043,0.211
28,MS,Mississippi,0.262,0.315,0.159,0.050,0.214
29,MO,Missouri,0.276,0.264,0.270,0.020,0.169
30,MT,Montana,0.382,0.000,0.271,0.038,0.310
31,NE,Nebraska,0.360,0.230,0.231,0.033,0.145
32,NV,Nevada,0.246,0.381,0.000,0.000,0.373
33,NH,New Hampshire,0.661,0.000,0.016,0.094,0.228
34,NJ,New Jersey,0.475,0.154,0.208,0.041,0.122
35,NM,New Mexico,0.184,0.368,0.157,0.025,0.266
36,NY,New York,0.307,0.165,0.321,0.069,0.137
37,NC,North Carolina,0.263,0.227,0.289,0.038,0.184
38,ND,North Dakota,0.115,0.211,0.069,0.035,0.571
39,OH,Ohio,0.286,0.250,0.267,0.006,0.191
40,OK,Oklahoma,0.175,0.333,0.214,0.029,0.249
41,OR,Oregon,0.329,0.000,0.408,0.034,0.228
42,PA,Pennsylvania,0.298,0.169,0.259,0.046,0.227
44,RI,Rhode Island,0.446,0.168,0.200,0.022,0.164
45,SC,South Carolina,0.335,0.241,0.220,0.021,0.182
46,SD,South Dakota,0.353,0.404,0.000,0.008,0.234
47,TN,Tennessee,0.268,0.409,0.012,0.058,0.253
48,TX,Texas,0.404,0.360,0.000,0.000,0.236
49,UT,Utah,0.277,0.243,0.280,0.030,0.170
50,VT,Vermont,0.422,0.105,0.194,0.030,0.248
51,VA,Virginia,0.347,0.137,0.311,0.021,0.184
53,WA,Washington,0.299,0.454,0.000,0.000,0.246
54,WV,West Virginia,0.215,0.167,0.242,0.028,0.348
55,WI,Wisconsin,0.362,0.189,0.257,0.037,0.155
56,WY,Wyoming,0.355,0.274,0.000,0.000,0.371
