id,stateAbbr,stateName,propTaxAsPercentPropValue,taxraterank
0,US,United States,0.012,
1,AL,Alabama,0.004,49
2,AK,Alaska,0.0101,20
4,AZ,Arizona,0.0066,38
5,AR,Arkansas,0.0064,41
6,CA,California,0.0073,36
8,CO,Colorado,0.0059,43
9,CT,Connecticut,0.0153,9
10,DE,Delaware,0.0055,45
11,DC,District of Columbia,0.0054,(46)
12,FL,Florida,0.0098,24
13,GA,Georgia,0.0091,27
15,HI,Hawaii,0.0028,50
16,ID,Idaho,0.0073,35
17,IL,Illinois,0.0198,3
18,IN,Indiana,0.0086,28
19,IA,Iowa,0.0142,13
20,KS,Kansas,0.013,15
21,KY,Kentucky,0.008,32
22,LA,Louisiana,0.005,48
23,ME,Maine,0.012,17
24,MD,Maryland,0.01,23
25,MA,Massachusetts,0.0111,18
26,MI,Michigan,0.0146,10
27,MN,Minnesota,0.0109,19
28,MS,Mississippi,0.0065,40
29,MO,Missouri,0.01,22
30,MT,Montana,0.0075,34
31,NE,Nebraska,0.0165,7
32,NV,Nevada,0.0071,37
33,NH,New Hampshire,0.0199,2
34,NJ,New Jersey,0.0211,1
35,NM,New Mexico,0.0066,39
36,NY,New York,0.0138,14
37,NC,North Carolina,0.0084,30
38,ND,North Dakota,0.0095,25
39,OH,Ohio,0.0158,8
40,OK,Oklahoma,0.0085,29
41,OR,Oregon,0.0101,21
42,PA,Pennsylvania,0.0146,11
44,RI,Rhode Island,0.0146,12
45,SC,South Carolina,0.0055,44
46,SD,South Dakota,0.0122,16
47,TN,Tennessee,0.0075,33
48,TX,Texas,0.0167,6
49,UT,Utah,0.0063,42
50,VT,Vermont,0.017,5
51,VA,Virginia,0.0081,31
53,WA,Washington,0.0094,26
54,WV,West Virginia,0.0053,46
55,WI,Wisconsin,0.0174,4
56,WY,Wyoming,0.0051,47
